"date","close","volume","open","high","low"
"16:00","7","37,728,525","6.85","7.18","6.75"
"2016/11/08","7.0000","37610130.0000","6.8500","7.1800","6.7500"
"2016/11/07","6.9600","36971240.0000","6.7900","6.9900","6.7600"
"2016/11/04","6.5600","32194920.0000","6.6900","6.7200","6.4600"
"2016/11/03","6.7000","33643860.0000","6.7800","6.7900","6.5600"
"2016/11/02","6.7600","33787100.0000","7.0300","7.0550","6.6700"
"2016/11/01","7.0900","39879990.0000","7.3200","7.4250","6.9200"
"2016/10/31","7.2300","42324890.0000","7.2400","7.4600","7.2000"
"2016/10/28","7.2000","77242520.0000","7.1000","7.5300","7.0200"
"2016/10/27","7.1100","37679300.0000","7.4400","7.4600","7.1000"
"2016/10/26","7.2900","47599440.0000","7.4000","7.4800","7.2600"
"2016/10/25","7.5000","78807250.0000","6.9000","7.5000","6.8700"
"2016/10/24","7.0050","52974070.0000","6.5700","7.0100","6.5400"
"2016/10/21","6.5200","64204350.0000","6.5000","6.6500","6.3700"
"2016/10/20","6.9600","63892740.0000","6.8100","6.9800","6.7700"
"2016/10/19","6.7700","29364320.0000","6.7000","6.8000","6.5700"
"2016/10/18","6.7300","25179670.0000","6.7600","6.8900","6.6900"
"2016/10/17","6.6700","24204010.0000","6.9200","6.9700","6.6400"
"2016/10/14","6.7500","66892790.0000","6.9200","7.1200","6.7400"
"2016/10/13","6.4900","30396980.0000","6.5000","6.5400","6.2400"
"2016/10/12","6.6200","33575940.0000","6.6400","6.7700","6.4200"
"2016/10/11","6.5000","32469660.0000","6.8000","6.8400","6.3800"
"2016/10/10","6.8400","13766940.0000","6.8200","6.9400","6.8000"
"2016/10/07","6.7500","33050370.0000","6.9200","6.9600","6.6200"
"2016/10/06","6.9600","27049420.0000","6.7200","6.9800","6.6300"
"2016/10/05","6.7800","31212740.0000","6.9700","7.0100","6.7000"
"2016/10/04","6.9700","25745810.0000","7.0000","7.0900","6.8900"
"2016/10/03","6.9500","30439500.0000","6.9500","7.1500","6.8700"
"2016/09/30","6.9100","47445680.0000","6.7000","7.0400","6.7000"
"2016/09/29","6.6700","30632580.0000","6.5700","6.7300","6.5400"
"2016/09/28","6.5900","27866950.0000","6.5700","6.6500","6.4800"
"2016/09/27","6.5400","30026660.0000","6.4500","6.5800","6.2900"
"2016/09/26","6.3200","29859870.0000","6.5400","6.5400","6.3100"
"2016/09/23","6.5500","60987860.0000","6.3100","6.6500","6.3100"
"2016/09/22","6.3700","35800090.0000","6.3500","6.4400","6.3300"
"2016/09/21","6.2900","33436400.0000","6.2000","6.3200","6.1400"
"2016/09/20","6.1700","28983770.0000","6.2300","6.2800","6.1200"
"2016/09/19","6.1600","37833450.0000","6.1200","6.2750","6.0800"
"2016/09/16","6.0500","47800180.0000","6.2200","6.2200","5.9700"
"2016/09/15","6.0200","52713100.0000","6.0900","6.2000","5.9500"
"2016/09/14","6.0400","64274840.0000","5.7500","6.0766","5.7500"
"2016/09/13","5.7400","50735660.0000","5.9200","5.9500","5.6600"
"2016/09/12","5.9400","77967340.0000","5.8300","6.0650","5.7700"
"2016/09/09","5.9000","170721100.0000","6.2300","6.2400","5.8500"
"2016/09/08","6.2250","90734570.0000","6.6400","6.6500","6.1500"
"2016/09/07","6.8400","57654100.0000","7.0500","7.0700","6.7800"
"2016/09/06","7.3400","24803060.0000","7.5600","7.6000","7.2500"
"2016/09/02","7.5100","18533130.0000","7.4900","7.6400","7.3800"
"2016/09/01","7.3500","22275730.0000","7.1800","7.4400","7.0900"
"2016/08/31","7.4000","18344870.0000","7.5200","7.5200","7.2800"
"2016/08/30","7.4900","16062950.0000","7.6100","7.6400","7.4100"
"2016/08/29","7.5900","16909330.0000","7.7200","7.7900","7.5700"
"2016/08/26","7.6700","31351740.0000","7.4900","7.8000","7.4600"
"2016/08/25","7.4650","16407060.0000","7.4900","7.4900","7.2000"
"2016/08/24","7.4300","22909510.0000","7.6700","7.6700","7.3700"
"2016/08/23","7.6700","27523800.0000","7.6600","7.7400","7.5300"
"2016/08/22","7.5800","41461470.0000","7.8300","7.9500","7.3700"
"2016/08/19","7.6200","75059970.0000","7.2400","8.0000","7.2200"
"2016/08/18","7.0400","30704860.0000","6.7400","7.0700","6.7250"
"2016/08/17","6.6800","13785060.0000","6.7000","6.7500","6.6100"
"2016/08/16","6.7800","26737720.0000","6.9400","6.9400","6.6500"
"2016/08/15","6.9500","28330880.0000","6.7900","6.9700","6.7800"
"2016/08/12","6.7300","25464680.0000","6.6000","6.7900","6.5500"
"2016/08/11","6.5800","13140610.0000","6.5000","6.5900","6.4600"
"2016/08/10","6.4900","29037190.0000","6.3500","6.5800","6.2500"
"2016/08/09","6.6000","16761580.0000","6.7500","6.7800","6.5400"
"2016/08/08","6.6800","21442770.0000","6.7000","6.8500","6.6500"
