size,text
1,Colorado"
5,A B Aerotransport
3,Aaxico Airlines
1,Ababeel Aviaition
1,Abakan Airlines
1,Aca-Ancargo
1,Ace Flying Service
3,ACES Colombia
1,Acme Air
1,Action Air Express Inc. - Air Taxi
1,Action Airlines
1,Adam Air
2,ADC Airlines
2,Aden Airways
2,ADES Colombia
1,Advance Airlines
2,Adventure Airlines
1,AECA Cargo
1,Aegler Stuart Flying Service / Private
3,Aer Lingus
1,Aer Turas
1,Aeralpi
1,Aerevias Centrales Air Service
1,Aerial Transit Company
1,Aero Air
1,Aero Asahi
1,Aero Cargo
1,Aero Club Libya
1,Aero Clube de Volta Redonda
1,Aero Condor
1,Aero Cozumel
1,Aero Ejecutivos
1,Aero Eslava
1,Aero Ferinco Charter
1,Aero France
1,Aero Holland
1,Aero Jet Express
1,Aero Lloyd
1,Aero Mayflower Transit Co
1,Aero National - Air Taxi
4,Aero O-Y
1,Aero PaLease - Air Taxi
1,Aero Pantanal - Air Taxi
1,Aero Peru
1,Aero Sudpacifico
1,Aero Taxis Equatorianos
1,Aero Transportes
5,Aero Transporti Italiani
1,Aero Tropical
1,Aerocalifornia
1,Aerocaribbean - Charter
2,Aerocaribe
1,Aerochasqui
1,Aerocom
1,Aerocondor
1,Aerocondor de Colombia
1,Aerocontroctors - Charter
1,Aerocord
1,Aerocosta Colombia
1,Aeroejecutivos Colombia
1,Aeroespresso
1,Aeroextra
1,Aeroflite Services
178,Aeroflot
3,Aeroflot / Aeroflot
1,Aeroflot / Military - Russian Air Force
1,Aeroflot / Soviet Air Force
1,Aeroflot /Military - Russian
1,Aeroflot Russian International Airways
1,Aerogulf
1,Aerolatino (Aerocaribe)
1,Aeroleasing - Air Taxi
1,Aeroleo Taxi Aereo
2,Aerolift
1,Aerolift Philippines
2,Aerolineas Abaroa
13,Aerolineas Argentinas
1,Aerolineas Argo
2,Aerolineas Centrales de Colombia
1,Aerolineas Condor
1,Aerolineas Cuahonte
1,Aerolineas El Salvador
2,Aerolineas Flecha Austral
1,Aerolineas La Gaviola
1,Aerolineas La Paz
1,Aerolineas Litoral Argentina
1,Aerolineas Nacionales
3,Aerolineas TAO
4,Aeromexico
1,Aeromexico / Private
1,Aeromist-Kharkiv
1,Aeronautical Services - Air Taxi
5,Aeronaves de Mexico
1,Aeronaves de Panama
1,Aeronaves del Peru
3,Aeronica
1,Aeronor Chile
1,Aeronorte
2,Aeronorte Colombia
1,Aeropeca
2,Aeroperlas
2,Aeroperu
3,Aeropesca Colombia
1,Aeropol
26,Aeropostale
1,Aeropostale - La Tecoere Company
1,Aeroput
1,Aeroservice International
1,Aeroservice S de RL
1,Aeroservicios Empresariales de Durango
4,Aerosucre Colombia
1,Aerosweet Airlines (LVOV)
3,Aerotaca
1,Aerotaxi Manaus
1,Aerotechnia
1,Aerotransportes Petroleros
1,Aero-Tropics
1,Aerotuy airline
1,Aerovalles
1,Aerovanguardia
3,Aerovias Brasil
1,Aerovias Condor
2,Aerovias Contreras
1,Aerovias Cuba International
2,Aerovias de Guatemala SA
1,Aerovias del Norte
1,Aerovias del Valle
1,Aerovias Guest
1,Aerovias Halcon
1,Aerovias Rojas
1,Aerovias Urraca
1,Aerovias Venezolanas SA (Venezuela)
1,Africa One Congo
1,African Air
1,African Commuter Services
1,Agape Flight Inc.
1,Agco Corp
1,Agee Flying Service - Air Taxi
2,Agencia Interamericana de Aviada
1,AIDA
5,Aigle Azur
1,Air 70
1,Air Affaires Gabon
2,Air Afrique
1,Air Albatross
5,Air Algerie
1,Air Ambulance - Med-Trans Corp.
1,Air ambulance - Mercy Air Services
1,Air Amercia
11,Air America
1,Air Angles Inc.
1,Air Anguilla
2,Air Atlas
1,Air Bissau
1,Air Bleu
1,Air Cameroon
6,Air Canada
1,Air Caraibes
1,Air Cargo Carriers
1,Air Cargo Express
2,Air Carriers
1,Air Carriers Express Services Inc
1,Air Central
1,Air Chaparral - Air Taxi
2,Air Charter
1,Air Charter - Tanzanian Air Services
1,Air China
1,Air Comores
2,Air Congo
1,Air Continental
1,Air East
2,Air Express
1,Air Ferry
1,Air Ferry Ltd
1,Air Fiji
2,Air Fiordland
1,Air Flamence
1,Air Florida
70,Air France
2,Air Freight New Zealand
1,Air Gabon
1,Air Gaspé
1,Air Georgian
1,Air Global
2,Air Guadeloupe
1,Air Guinee
1,Air Haiti International
1,Air Hawaii
1,Air Illinois
10,Air India
3,Air Inter
1,Air Iowa
1,Air Ivoire
1,Air Ivorie
1,Air Jordan
1,Air Karibu
1,Air Kasai
1,Air Lanka
2,Air Laos
1,Air Liberia
3,Air Littoral
3,Air Logistics
1,Air Luxor
3,Air Madagascar
1,Air Malawi
3,Air Mali
3,Air Manila
2,Air Manitoba
1,Air Martinique
1,Air Mauritanie
1,Air Melanesie
1,Air Memphis
1,Air Methods / ClassiHelicopters
1,Air Moorea
2,Air Nautic
1,Air New England
3,Air New Zealand
1,Air Niagara
1,Air North
1,Air North Queensland
1,Air Ocean
1,Air Ohio - Air Taxi
1,Air One Executive
1,Air Ontario
5,Air Orient
1,Air Outremer
1,Air Outre-Mer
1,Air Pennsylvania - Air Taxi
1,Air Pereira
1,Air Philippines
1,Air Rainbow
1,Air Reconnaissance Unit of Liberia
2,Air Rhodesia
1,Air Rouergue
1,Air Saint Maurice Inc.
1,Air Satellite
1,Air Senegal
1,Air Senegal / Gambia Airways
1,Air Serv Internatiional/CemAir
1,Air Service - Air Taxi
1,Air Services
1,Air Sinai
1,Air South
1,Air St. Martin
1,Air Sunshine
1,Air Tahiti
1,Air Tahoma
1,Air Taroma
48,Air Taxi
1,Air taxi - Aero Air Taxi
1,Air Taxi - Aero West Aviation Inc.
1,Air Taxi - Air Grand Canyon Inc.
1,Air Taxi - Air Medical Leasing
1,Air taxi - Air Safaris Inc.
1,Air Taxi - Air Taxi Inc.
1,Air Taxi - Air Trends Inc.
1,Air Taxi - Air Vegas Inc.
1,Air Taxi - Airis Helicopters Inc.
1,Air Taxi - Alpine Aviation
1,Air Taxi - Baker Aviation Inc.
2,Air Taxi - Basco Flying Service Inc.
1,"Air Taxi - Bigfoot Air of Alaska, LLC"
1,Air Taxi - Bohemia Inc.
1,Air Taxi - Centre Airlines Inc.
1,Air Taxi - Coastal Airways Inc.
1,Air Taxi - Coastal Helicopters Inc.
1,Air Taxi - Continental Air Taxi
1,Air taxi - Cuiaba Air Taxi
1,Air Taxi - Custom Air Transport Inc.
1,Air Taxi - Delaware Aviation LLC
1,Air Taxi - Desert Flying Service
1,Air Taxi - Durango Air Service
1,Air Taxi - Eidoarie Inc.
1,Air Taxi - El Aero Services Inc.
1,Air Taxi - Flying School of the Cascades Inc.
1,Air Taxi - Four Corners Aviation Inc.
1,Air Taxi - Grant Aviation Inc.
1,Air Taxi - Great Northern Aircraft Co.
1,Air Taxi - Guinn Flying Service
1,Air Taxi - Haines Airways Inc.
1,Air Taxi - Hawaii Helicopters Inc.
1,Air Taxi - Henson Airlines
1,"Air Taxi - Iliamna, Air Taxi Inc."
1,Air Taxi - Island Air Service
1,Air Taxi - Island Airlines
1,Air Taxi - Islip Airco Inc.
1,Air taxi - Jao Air Taxi
1,Air Taxi - Jet Alaska
