size,text
438,cloud
93,Retrieved
85,form
81,type
71,Speci
61,cumulus
59,edit
55,genus
53,into
51,cumuliform
49,meteorology
48,high
48,vertical
47,atmosphere
44,convection
44,more
43,layer
43,stratiform
43,weather
42,air
42,étage
38,formation
37,ISBN
37,produce
36,low
36,name
36,water
34,altitude
33,appear
33,ed.
32,cirriform
32,cirrus
32,cumulonimbus
32,precipitation
32,than
31,altocumulus
31,stratocumulus
31,troposphere
31,variety
31,very
29,PDF
29,feature
29,genera
28,stratocumuliform
27,World
27,general
27,physics
26,International
26,tower
25,Organization
25,base
25,cirrocumulus
25,polar
24,altostratus
24,level
24,pp.
24,structure
23,also
23,atlas
23,classification
22,National
22,color
22,droplets
22,group
22,mostly
22,one
22,surface
21,Howard
21,I.
21,doi
21,over
21,top
20,January
20,become
20,cool
20,p.
20,system
19,associated
19,cumulonimbiform
19,nimbostratus
19,other
19,seen
19,show
19,some
19,stratus
19,usually
18,August
18,Latin
18,November
18,climate
18,effect
18,global
18,include
18,lift
18,light
18,main
18,nasa
18,result
18,see
18,sometimes
18,space
18,stratosphere
18,supplementary
17,any
17,cause
17,cirrostratus
17,large
17,moderate
17,unstable
17,warm
16,Universe
16,because
16,during
16,earth
16,front
16,middle
16,noctilucent
16,process
16,stable
16,subtype
16,temperature
16,tend
16,use
16,wind
15,Bibcode
15,J.
15,October
15,extent
15,fall
15,instability
15,near
15,observes
15,often
15,reflect
15,science
15,stratiformis
15,sun
14,develop
14,however
14,mass
14,mesosphere
14,occur
14,only
14,rain
14,research
14,satellite
14,were
14,white
13,converge
13,nacreous
13,new
13,no
13,origin
13,radiation
13,range
13,sky
13,small
12,accessory
12,active
12,airmass
12,all
12,along
12,change
12,characteristic
12,classify
12,condenses
12,crystal
12,first
12,fog
12,given
12,ground
12,heap
12,heavy
12,higher
12,identify
12,solar
12,term
12,zone
11,D.
11,M.
11,b.
11,composed
11,distribution
11,ice
11,limit
11,multi-étage
11,pressure
11,saturated
11,sheet
11,similar
11,up
11,vapor
10,Administration
10,December
10,always
10,before
10,below
10,close
10,commonly
10,conditions
10,congestus
10,cover
10,fibratus
10,ft
10,made
10,resemble
10,shower
10,such
9,a.
9,above
9,after
9,area
9,cloudy
9,comprise
9,deep
9,designate
9,detached
9,each
9,found
9,fractus
9,free
9,genus-type
9,image
9,indicate
9,known
9,map
9,most
9,non-convective
9,occasional
9,opaque
9,patches
9,planet
9,possible
9,roll
9,separate
9,stability
9,tufts
9,visible
8,Aeronautics
8,Cu
8,H.
8,S.
8,Society
8,State
8,adiabatic
8,both
8,call
8,combine
8,common
8,considered
8,continue
8,differed
8,divided
8,edge
8,even
8,increased
8,larger
8,lead
8,like
8,local
8,low-pressure
8,low-étage
8,lower
8,mainly
8,nature
8,normal
8,out
8,point
8,ragged
8,respect
8,thick
8,thin
8,three
8,time
8,upper
8,virga
7,C.
7,July
7,R.
7,although
7,being
7,between
7,cyclone
7,dew
7,due
7,embedded
7,field
7,forecast
7,free-convective
7,grey
7,illuminated
7,intense
7,latitude
7,list
7,mediocris
7,model
7,particles
7,perlucidus
7,pole
7,rather
7,region
7,ripple
7,rise
7,severe
7,snow
7,storm
7,strong
7,study
7,supercooled
7,thunderstorm
7,two
7,vary
6,Aristotle
6,February
6,Geographic
6,Luke
6,March
6,Observatory
6,Online
6,Saturn
6,September
6,Service
6,T.
6,article
6,castellanus
6,category
6,clear
6,cold
6,comparatively
6,concentrated
6,floccus
6,formal
6,frontal
6,gives
6,grow
6,hail
6,high-étage
6,horizontal
6,jetstream
6,mid-level
6,moisture
6,much
6,proposed
6,reach
6,refer
6,restricted
6,scatter
6,shades
6,significant
6,so
6,streaks
6,sufficient
6,variant
6,wave
6,without
6,work
5,April
5,G.
5,Jupiter
5,N.
5,PMID
5,Press
5,USA
5,Uranus
5,WMO
5,absorb
5,acid
5,addition
5,approximate
5,around
5,arranged
5,authors
5,blue
5,came
5,center
5,century
5,column
5,complex
5,consists
5,contain
5,de
5,dense
5,depending
5,detail
5,diffuse
5,do
5,drop
5,enough
5,especially
5,evaporates
5,except
5,exoplanet
5,extensive
5,extratropical
5,extreme
5,filaments
5,fire
5,flat
5,force
5,had
5,having
5,heavier
5,high-level
5,hole
5,index
5,isolated
5,link
5,long-wave
5,major
5,middle-étage
5,moon
5,mother
5,mountain
5,multiple
5,nearly
5,nebulosus
5,nomenclature
5,non-nacreous
5,order
5,orographic
5,particular
5,partly
5,patterns
5,pileus
5,potential
5,presence
5,published
5,radius
5,rare
5,relative
5,require
5,same
5,shear
5,single
5,source
5,specific
5,sunlight
5,sunrise
5,sunset
5,take
5,titan
5,typical
5,undulatus
5,vortex
5,way
5,year
4,Ac
4,Ackerman
4,Associated
4,Colorado
4,Divergence
4,Extraterrestrial
4,GJ
4,Journal
4,June
4,L.
4,Lamarck
4,Mars
4,Mean
4,Neptune
4,Ray
4,Robert
4,Theophrastus
4,Views
4,ability
4,according
4,added
4,aerosol
4,agent
4,aloft
4,alternative
4,arcus
4,ascending
4,basic
4,black
4,break
4,canon
4,chance
4,circulation
4,collects
4,composite
4,create
4,dark
4,deck
4,degree
4,detected
4,distinct
4,distinguish
4,dynamics
4,events
4,favor
4,further
4,great
4,greater
4,greenhouse
4,history
4,horizon
4,humidity
4,humilis
4,identification
4,influence
4,informally
4,international
4,large-scale
4,lenticularis
4,lightning
4,line
4,look
4,luminance
4,mechanism
4,merge
4,moist
4,nitric
4,now
4,opacity-based
4,part
4,planetary
4,prefix
4,rm
4,scheme
4,scientific
4,season
4,shape
4,sign
4,south
4,special
4,spread
4,standard
4,street
4,subdivision
4,subtropics
4,tall
4,ten
4,terminology
4,therefore
4,through
4,too
4,tornado
4,translucent
4,translucidus
4,tropics
4,twilight
4,uncinus
4,under
4,upward
4,upward-growing
4,variable
4,variation
4,various
4,widespread
4,within
4,word
3,Another
3,Archive
3,CS1
3,Cc
3,Ci
3,Contrail
3,Cs
3,David
3,Desert
3,Dictionary
3,Dunlop
3,Etymology
3,F.
3,Geophysics
3,ICAO
3,Jean-Baptiste
3,John
3,K.
3,Laboratory
3,Measurement
3,Michael
3,Mystery
3,O.
3,OCLC
3,One
3,Photographs
3,Project
3,Report
3,Royal
3,Scientist
3,Springer
3,Today
3,United
3,Venus
3,accepted
3,achieve
3,ahead
3,almost
3,alpha-numeric
3,amount
3,analysis
3,angle
3,arXiv
3,art
3,attached
3,average
3,back
3,background
3,bluish
3,book
3,boundary
3,bright
3,broken
3,buildups
3,cb
3,certain
3,characterized
3,chemical
3,cloudscape
3,coldest
3,complete
3,comprehensive
3,consequence
3,content
3,contrast
3,cross-classified
3,cumulostratus
3,current
3,data
3,defined
3,definition
3,dimming
3,disturbed
3,downward
3,earlier
3,elaborate
3,elements
3,entire
3,environment
3,equator
3,example
3,fluid
3,foreground
3,fraction
3,frozen
3,genitus
3,green
3,halos
3,hemispheres
3,honeycomb
3,incus
3,individual
3,initially
3,intermittent
3,intortus
3,inversion
3,irregular
3,just
3,lacks
3,latter
3,least
3,little
3,located
3,longer
3,low-level
3,maint
3,mamma
3,media
3,methane
3,method
3,mission
3,mixed
3,month
3,multi-level
3,net
3,newly
3,nimbiform
3,nimbus
3,non-WMO
3,north
3,northern
3,nuclei
3,occurrence
3,officially
3,opacus
3,orange
3,organized
3,pannus
3,parallel
3,parent
3,pattern-based
3,penetrate
3,photography
3,place
3,pollution
3,present
3,prevalent
3,promote
3,provide
3,radiatus
3,read
3,reclassified
3,recommended
3,red
3,related
3,remain
3,retain
3,reveal
3,ridge
3,scale
3,selected
3,short
3,simple
3,since
3,size
3,space.com
3,spectrum
3,spissatus
3,subdivided
3,success
3,suggested
3,sulfur
3,taken
3,tcu
3,thunder
3,transmitted
3,tropopause
3,turbulence
3,uncertainty
3,violent
3,von
3,wave-like
3,weak
3,well
3,while
3,whirls
3,whose
3,wisps
2,19th
2,20th
2,20th-century
2,A.P
2,Academic
2,Actinoform
2,Aerographer
2,American
2,Ancient
2,Appreciation
2,Approaches
2,Astronomy
2,Astrophysics
2,Australia
2,Aviaticus
2,Benneke
2,Bibliography
2,California
2,Cambridge
2,Clayton
2,Climatology
2,Cloud-based
2,Conference
2,Corfidi
2,Cowley
2,Deming
2,Dept
2,Downburst
2,E.
2,ESO
2,Edward
2,Elementary
2,Engineering
2,English
2,Equivalent
2,External
2,Farlex
2,Fox
2,France
2,French
2,Fundamentals
2,Garrett
2,German
2,Glossary
2,Graphics
2,Greek
2,Guide
2,Heat
2,Helmholtz
2,Homeier
2,IMO
2,Image
2,India
2,Industry
2,Institute
2,Intertropical
2,Jet
2,Karen
2,Kelvin
2,Kingdom
2,Knutson
2,L25
2,LI
2,La
2,Learning
2,Les
2,MODIS
2,Meteorologica
2,Mojave
2,Move
2,Mundo
2,Ns
2,Oceanic
2,Office
2,Pacific
2,Phillips
2,Pilotfriend
2,Play
2,Plymouth
2,Popular
2,Precipitation-based
2,Program
2,Release
2,Sc
2,Seager
2,Seeds
2,Silla
2,St
2,Station
2,Stephen
2,Steven
2,Taylor
2,Tellus
2,Text
2,Theodore
2,Thermodynamic
2,Virtual
2,Watcher
2,Wet-bulb
2,Yellowish
2,York
2,Z.
2,able
2,accompanied
2,accumulation
2,acquired
2,adapted
2,adjacent
2,adopted
2,advection
2,against
2,aircraft
2,albedo
2,allow
2,ammonia
2,angular
2,anywhere
2,arises
2,asperatus
2,atoptics.co.uk
2,available
2,bands
2,basis
2,became
2,begin
2,behavior
2,believed
2,benign
2,best
2,beyond
2,bottom
2,brisk
2,cannot
2,cap
2,cape
2,capillatus
2,carry
2,case
2,cell
2,chapter
2,chlorine
2,circular
2,city
2,clearly
2,cleavage
2,colder
2,connection
2,cumulogenitus
2,dark-grey
2,darker
2,daytime
2,decreases
2,delicate
2,depth
2,derivative
2,describes
2,description
2,determined
2,difficult
2,dioxide
2,directly
2,discernible
2,discovery
2,downdrafts
2,driven
2,duplicatus
2,eds
2,efficient
2,either
2,elevated
2,ends
2,enhance
2,established
2,evaluate
2,eventually
2,evidence
2,exist
2,extend
2,fact
2,far
2,farther
2,feedback
2,find
2,five
2,following
2,forest
2,freely
2,funnel
2,gases
2,happens
2,held
2,highly
2,homogenitus
2,human
2,hydrometeors
2,ice-crystal
2,impossible
2,incident
2,infrared
2,interactions
2,introduction
2,involves
2,kilometer
2,km
2,lacunosus
2,largest
2,late
2,later
2,less
2,long
2,lunar
2,make
2,makeup
2,mammatus
2,marine
2,maximum
2,met
2,metaphor
2,meteorologist
2,meteors
2,mid
2,might
2,minute
2,mist
2,mm
2,modern
2,modification
2,narrow
2,night
2,non-vertical
2,number
2,occasion
2,occupy
2,off-white
2,old
2,opacity
2,open
2,optics
2,otherwise
2,outcome
2,outer
2,outflow
2,outline
2,overall
2,partial
